idx,device,sample,total_mem (pc),total_mem (orin),total_mem (pi),mem_increment (pc),mem_increment (orin),mem_increment (pi)
150,8,10,28.1,25.2,20.1,1.6,1.7,1.5
151,8,11,28.2,25.5,20.0,1.6,1.9,1.5
152,8,12,27.9,24.7,20.1,1.5,1.7,1.2
153,8,13,28.1,25.5,20.0,1.8,1.9,1.4
154,8,14,27.9,25.4,20.0,1.5,1.8,1.4
155,8,15,28.0,25.1,19.9,1.5,1.7,1.3
156,8,16,28.2,25.4,20.0,1.6,1.8,1.2
157,8,17,28.1,25.5,20.1,1.6,1.9,1.5
158,8,18,28.0,24.8,20.1,1.5,1.7,1.4
159,8,19,27.8,25.0,19.9,1.5,1.8,1.2
160,8,20,28.0,24.7,19.9,1.5,1.7,1.2
161,9,1,28.2,25.4,20.3,1.8,1.9,1.4
162,9,2,28.1,24.9,20.3,1.8,1.9,1.6
163,9,3,28.1,24.9,19.9,1.6,1.6,1.4
164,9,4,27.8,24.8,19.8,1.4,1.3,1.0
165,9,5,28.4,25.6,20.1,1.8,2.0,1.6
166,9,6,28.1,25.3,20.1,1.8,1.8,1.5
167,9,7,28.1,25.5,20.0,1.5,1.9,1.3
168,9,8,27.9,25.3,20.0,1.4,1.7,1.3
169,9,9,28.0,25.6,20.1,1.6,2.0,1.6
170,9,10,27.9,24.7,19.9,1.5,1.6,1.2
171,9,11,28.1,25.1,20.2,1.6,1.9,1.4
172,9,12,28.1,25.0,20.0,1.8,1.8,1.3
173,9,13,28.2,24.9,20.1,1.9,1.8,1.6
174,9,14,28.3,25.2,20.1,1.8,1.9,1.4
175,9,15,28.5,25.6,20.3,1.9,2.0,1.4
176,9,16,28.2,25.2,19.9,1.6,1.8,1.3
177,9,17,28.0,25.2,20.3,1.6,2.0,1.4
178,9,18,28.0,25.0,20.0,1.5,1.8,1.3
179,9,19,28.0,25.3,20.2,1.6,1.8,1.6
180,9,20,28.3,25.0,20.0,1.8,1.8,1.4
181,10,1,27.9,25.1,19.7,1.2,1.5,1.2
182,10,2,27.8,24.7,19.9,1.4,1.4,1.2
183,10,3,27.8,24.8,19.7,1.5,1.4,1.2
184,10,4,28.1,24.3,19.9,1.5,1.3,1.3
185,10,5,28.0,24.8,19.8,1.4,1.4,1.3
186,10,6,28.0,24.7,19.7,1.5,1.5,1.2
187,10,7,28.0,24.4,19.8,1.5,1.4,1.1
188,10,8,27.7,25.1,19.8,1.2,1.5,1.1
189,10,9,28.0,24.8,19.9,1.5,1.5,1.3
190,10,10,27.9,24.6,19.8,1.2,1.4,1.1
191,10,11,27.9,24.8,19.8,1.5,1.4,1.1
192,10,12,27.8,24.3,19.9,1.2,1.3,1.3
193,11,1,27.7,24.8,20.0,1.2,1.3,1.3
194,11,2,27.6,24.3,19.9,1.2,1.3,1.3
195,11,3,27.9,24.9,19.9,1.4,1.4,1.3
196,11,5,28.1,24.9,19.8,1.6,1.4,1.1
197,11,6,27.9,24.8,19.7,1.2,1.5,1.2
198,11,7,27.6,24.3,19.8,1.5,1.3,1.1
199,11,8,27.6,24.6,20.0,1.2,1.4,1.1
200,11,9,28.0,24.3,19.7,1.5,1.3,1.2
201,12,1,28.0,24.7,19.8,1.4,1.5,1.1
202,12,2,28.0,24.7,19.8,1.4,1.5,1.1
203,12,3,27.9,24.4,19.9,1.2,1.3,1.2
204,12,4,27.8,24.4,19.8,1.4,1.4,1.2
205,12,5,27.9,25.1,19.9,1.4,1.5,1.3
206,12,6,27.8,24.8,19.7,1.4,1.5,1.2
207,12,7,27.9,24.6,20.0,1.4,1.4,1.3
208,12,8,27.8,25.0,19.8,1.4,1.4,1.1
209,12,10,27.9,24.5,19.9,1.4,1.4,1.1
210,12,11,27.6,24.8,19.8,1.1,1.3,1.1
211,12,12,28.0,24.4,19.8,1.4,1.4,1.1
212,12,13,28.0,24.7,20.0,1.5,1.4,1.3
213,12,14,27.8,24.6,19.8,1.4,1.4,1.1
214,12,15,27.7,24.3,20.0,1.4,1.3,1.1
215,12,16,27.7,24.3,19.9,1.4,1.3,1.2
216,12,17,27.9,24.7,19.7,1.5,1.4,1.2
217,12,18,27.9,24.8,20.0,1.5,1.4,1.3
218,12,19,28.0,24.7,19.9,1.4,1.4,1.3
219,12,20,27.8,24.6,19.8,1.4,1.4,1.0
220,12,21,28.0,24.7,19.7,1.4,1.4,1.0
221,13,1,27.9,24.4,19.8,1.2,1.3,1.2
222,13,2,27.5,24.8,20.0,1.1,1.5,1.3
223,13,3,27.7,24.6,19.8,1.2,1.4,1.0
224,13,4,27.8,24.6,19.8,1.4,1.3,1.2
225,13,5,28.1,24.6,19.8,1.5,1.4,1.1
226,13,6,27.8,24.9,19.8,1.2,1.5,1.1
227,13,7,27.6,24.6,19.8,1.4,1.4,1.1
228,13,8,27.7,24.6,19.8,1.2,1.4,1.2
229,13,9,27.7,24.4,19.8,1.4,1.4,1.2
230,13,10,27.8,25.0,19.9,1.4,1.4,1.3
231,13,11,27.8,24.9,20.0,1.4,1.4,1.1
232,13,12,28.0,24.6,19.8,1.4,1.4,1.1
233,13,13,27.6,24.8,19.9,1.2,1.3,1.3
234,13,14,27.6,24.7,20.0,1.2,1.4,1.4
235,13,15,27.6,24.3,19.8,1.4,1.3,1.2
236,13,16,27.9,25.0,20.0,1.4,1.4,1.3
237,13,17,27.7,24.4,19.8,1.2,1.4,1.1
238,13,18,27.8,24.9,20.0,1.5,1.5,1.1
239,13,19,27.9,24.1,20.0,1.2,1.1,1.3
240,13,20,27.8,24.6,19.8,1.2,1.4,1.1
241,14,1,27.6,25.1,19.8,1.2,1.5,1.1
242,14,2,27.7,24.3,20.0,1.2,1.3,1.3
243,14,3,27.5,24.8,19.9,1.2,1.4,1.2
244,14,4,27.9,24.8,19.8,1.4,1.3,1.1
245,14,5,27.8,25.1,19.9,1.2,1.5,1.2
246,14,7,27.7,24.6,20.0,1.2,1.3,1.1
247,14,8,27.9,24.4,20.0,1.5,1.3,1.1
248,14,9,28.0,24.4,20.0,1.4,1.3,1.3
249,14,10,27.7,24.2,20.0,1.1,1.2,1.3
250,14,11,27.8,24.4,19.8,1.4,1.4,1.2
