idx,device,sample,total_mem (pc),total_mem (orin),total_mem (pi),mem_increment (pc),mem_increment (orin),mem_increment (pi)
394,22,14,20.4,16.9,12.0,0.1,0.0,0.2
395,22,15,20.2,16.8,12.0,0.1,0.0,0.2
396,22,16,20.0,16.8,12.1,0.0,0.0,0.2
397,22,17,20.2,17.1,12.1,0.0,0.0,0.2
398,22,18,20.2,16.9,12.1,0.0,0.0,0.2
399,22,19,20.2,16.9,12.1,0.1,0.0,0.2
400,22,20,20.1,16.9,12.2,0.0,0.0,0.2
401,23,1,20.1,16.9,12.0,0.0,0.0,0.2
402,23,2,20.1,16.7,12.1,0.0,0.0,0.2
403,23,3,20.4,16.9,12.1,0.2,0.0,0.2
404,23,4,20.1,16.9,12.1,0.0,0.0,0.2
405,23,5,20.4,16.7,12.1,0.2,0.0,0.2
406,23,6,20.1,16.7,12.1,0.0,0.0,0.2
407,23,7,20.1,16.8,12.1,0.0,0.0,0.2
408,23,8,20.0,16.9,12.1,0.0,0.0,0.2
409,23,9,19.9,16.7,12.1,0.0,0.0,0.2
410,23,10,20.2,16.9,12.1,0.0,0.0,0.2
411,23,11,20.1,16.9,12.1,0.1,0.0,0.2
412,23,12,20.1,16.7,12.1,0.1,0.0,0.2
413,23,13,20.2,16.9,12.1,0.0,0.0,0.2
414,23,14,20.2,16.7,12.1,0.1,0.0,0.2
415,23,15,20.0,16.9,12.1,0.0,0.0,0.2
416,23,16,20.2,16.9,12.1,0.1,0.0,0.2
417,23,17,20.2,16.8,12.1,0.1,0.0,0.2
418,23,18,20.0,16.9,12.1,0.0,0.0,0.2
419,23,19,20.1,16.8,12.2,0.1,0.0,0.2
420,23,20,20.1,16.9,12.1,0.2,0.0,0.2
421,24,1,20.2,16.7,12.1,0.0,0.0,0.2
422,24,2,20.1,17.1,12.1,0.0,0.0,0.2
423,24,3,19.9,16.8,12.1,0.0,0.0,0.2
424,24,4,20.1,16.7,12.1,0.0,0.0,0.2
425,24,5,20.1,16.9,12.1,0.0,0.0,0.2
426,24,6,19.9,16.7,12.1,0.0,0.0,0.2
427,24,7,20.2,16.7,12.2,0.1,0.0,0.2
428,24,8,20.0,16.8,12.1,0.0,0.0,0.2
429,24,9,20.1,16.8,12.1,0.1,0.0,0.2
430,24,10,20.0,16.9,12.1,0.1,0.0,0.2
431,24,11,20.0,16.7,12.1,0.0,0.0,0.2
432,24,12,20.1,16.7,12.2,0.1,0.0,0.2
433,24,13,20.2,16.7,12.1,0.2,0.0,0.2
434,24,14,20.0,16.9,12.1,0.1,0.0,0.2
435,24,15,20.2,16.9,12.1,0.2,0.0,0.2
436,24,16,20.2,16.8,12.1,0.0,0.0,0.2
437,24,17,20.1,17.1,12.1,0.0,0.0,0.2
438,24,18,20.4,16.8,12.1,0.1,0.0,0.2
439,24,19,20.2,16.8,12.1,0.0,0.0,0.2
440,24,20,20.2,16.8,12.1,0.0,0.0,0.2
441,25,1,20.4,16.8,12.1,0.2,0.0,0.2
442,25,2,20.1,16.8,12.2,0.0,0.0,0.2
443,25,3,20.2,16.7,12.2,0.4,0.0,0.2
444,25,4,20.1,16.7,12.2,0.0,0.0,0.2
445,25,5,20.2,16.8,12.0,0.1,0.0,0.2
446,25,6,20.2,16.7,12.1,0.1,0.0,0.2
447,25,7,20.2,16.8,12.1,0.1,0.0,0.2
448,25,8,20.2,16.8,12.0,0.1,0.0,0.3
449,25,9,20.1,16.7,12.1,0.0,0.0,0.2
450,25,10,20.0,16.9,12.2,0.1,0.0,0.2
451,25,11,20.1,16.8,12.1,0.0,0.0,0.2
452,25,12,20.2,16.9,12.2,0.0,0.0,0.3
453,25,13,20.0,16.7,12.1,0.0,0.0,0.2
454,25,14,20.0,16.9,12.1,0.0,0.0,0.2
455,25,15,20.1,16.9,12.1,0.0,0.0,0.2
456,25,16,20.1,16.8,12.1,0.0,0.0,0.2
457,25,17,20.1,16.8,12.1,0.0,0.0,0.2
458,25,18,20.2,16.8,12.1,0.0,0.0,0.2
459,25,19,20.1,16.9,12.2,0.0,0.0,0.3
460,25,20,20.2,16.9,12.1,0.1,0.0,0.3
461,26,1,20.1,17.0,12.1,0.2,0.0,0.3
462,26,2,20.1,16.9,12.2,0.0,0.0,0.3
463,26,3,20.2,16.9,12.1,0.0,0.0,0.3
464,26,4,20.1,16.8,12.2,0.1,0.0,0.3
465,26,5,20.0,17.1,12.2,0.0,0.0,0.3
466,27,1,20.4,16.9,12.1,0.1,0.0,0.2
467,27,2,20.1,16.8,12.2,0.1,0.1,0.3
468,27,3,20.0,16.8,12.1,0.0,0.0,0.2
469,27,4,20.1,16.9,12.1,0.1,0.0,0.3
470,27,5,20.1,16.7,12.2,0.0,0.0,0.3
471,27,6,20.0,16.7,12.1,0.1,0.1,0.3
472,27,7,20.2,16.7,12.1,0.1,0.0,0.2
473,27,8,20.4,16.7,12.1,0.2,0.0,0.2
474,27,9,20.1,16.9,12.1,0.1,0.0,0.3
475,27,10,20.1,16.9,12.2,0.1,0.0,0.3
476,27,11,20.1,16.7,12.2,0.1,0.0,0.2
477,27,12,20.1,16.8,12.2,0.1,0.0,0.3
478,27,13,20.1,16.7,12.1,0.0,0.0,0.2
