idx,device,sample,cpu_line (pc),cpu_line (orin),cpu_line (pi)
103,6,3,2368277348.0,9042426027.0,30000000000.0
104,6,4,2372975089.0,9036311751.0,30000000000.0
105,6,5,2381528847.0,9213853506.0,30000000000.0
106,6,6,2418768730.0,9309585200.0,30000000000.0
107,6,7,2392935183.0,8976845956.0,30000000000.0
108,6,8,2369869679.0,9237861972.0,30000000000.0
109,6,9,2382279059.0,9070520711.0,30000000000.0
110,6,10,2407392980.0,9008504973.0,30000000000.0
111,6,11,2335468251.0,9011521662.0,30000000000.0
112,6,12,2371004500.0,9041907587.0,30000000000.0
113,6,13,2375415486.0,9103185840.0,30000000000.0
114,6,14,2391554518.0,9075927724.0,30000000000.0
115,6,15,2372487535.0,9054629884.0,30000000000.0
116,6,16,2359155603.0,9012349411.0,30000000000.0
117,6,17,2368939056.0,8979247393.0,30000000000.0
118,6,18,2377279037.0,8979362313.0,30000000000.0
119,6,19,2380150897.0,9010466168.0,30000000000.0
120,6,20,2372918226.0,8988223458.0,30000000000.0
121,7,1,2374406949.0,8962930259.0,30000000000.0
122,7,2,2372583312.0,9093171275.0,30000000000.0
123,7,3,2376274889.0,8952061951.0,30000000000.0
124,7,4,2367462142.0,9071584275.0,30000000000.0
125,7,5,2378610659.0,9006819002.0,30000000000.0
126,7,6,2368316108.0,9072364944.0,30000000000.0
127,7,7,2371760827.0,9015771456.0,30000000000.0
128,7,8,2370389533.0,8976978947.0,30000000000.0
129,7,9,2383591675.0,9084704683.0,30000000000.0
130,7,10,2379478220.0,9022784379.0,30000000000.0
131,7,11,2356852470.0,8964995591.0,30000000000.0
132,7,12,2376007729.0,9124641441.0,30000000000.0
133,7,13,2373852717.0,9120988097.0,30000000000.0
134,7,14,2375101284.0,9007103227.0,30000000000.0
135,7,15,2381338506.0,9094324670.0,30000000000.0
136,7,16,2376937673.0,9037908993.0,30000000000.0
137,7,17,2375106730.0,8874714323.0,30000000000.0
138,7,18,2338349400.0,8977858318.0,30000000000.0
139,7,19,2386939781.0,8975145174.0,30000000000.0
140,7,20,2371792992.0,8955654127.0,30000000000.0
141,8,1,2373324334.0,9102062602.0,30000000000.0
142,8,2,2369260525.0,9015659196.0,30000000000.0
143,8,3,2387301190.0,9089129821.0,30000000000.0
144,8,4,2377114485.0,9039014938.0,30000000000.0
145,8,5,2367113563.0,9076993162.0,30000000000.0
146,8,6,2371512213.0,9098799921.0,30000000000.0
147,8,7,2364067719.0,9015859444.0,30000000000.0
148,8,8,2369956820.0,8985767750.0,30000000000.0
149,8,9,2374908211.0,9057696569.0,30000000000.0
150,8,10,2378565451.0,9058402374.0,30000000000.0
151,8,11,2373017537.0,8901174506.0,30000000000.0
152,8,12,2386046072.0,8976574252.0,30000000000.0
153,8,13,2375811984.0,8998015537.0,30000000000.0
154,8,14,2378040398.0,9096410440.0,30000000000.0
155,8,15,2373804014.0,9061547385.0,30000000000.0
156,8,16,2393652824.0,9044944111.0,30000000000.0
157,8,17,2375348136.0,8984051405.0,30000000000.0
158,8,18,2379814737.0,9007596547.0,30000000000.0
159,8,19,2384562669.0,8957373757.0,30000000000.0
160,8,20,2359417584.0,8929402069.0,30000000000.0
161,9,1,2362065856.0,8914646129.0,30000000000.0
162,9,2,2405406249.0,8982804298.0,30000000000.0
163,9,3,2387186556.0,9071020593.0,30000000000.0
164,9,4,2396466751.0,9024090599.0,30000000000.0
165,9,5,2367101733.0,9018865183.0,30000000000.0
166,9,6,2341105506.0,9066369872.0,30000000000.0
