idx,f1-weight,inference-time-weight,memory-weight,objective-function,number_of_food_sources,number_of_iteration,abc_best_params,abc_best_param_idx,abc_best_fitness,abc_best_f1,abc_best_inference_time,abc_best_memory,abc_iteration_count,opt_params,opt_param_idx,opt_f1,opt_inference_time,opt_memory,f1_diff,f1_diff,memory_diff
13,34,33,33,max-normalized,15,30,"{'hidden_layer_sizes': (50,), 'activation': 'identity', 'solver': 'lbfgs', 'alpha': 0.01, 'learning_rate': 'constant', 'warm_start': True}",37,0.9352228409419474,0.95739741,2.727539063,153.5,656,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.001262574099999969,0.31079101499999995,7.099999999999994
14,34,33,33,max-normalized,15,40,"{'hidden_layer_sizes': (50,), 'activation': 'identity', 'solver': 'lbfgs', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': False}",52,0.9310797261372274,0.9610559745,1.959960938,156.7,847,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.0023959904000000476,1.07836914,10.299999999999983
15,34,33,33,max-normalized,15,50,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'lbfgs', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': True}",161,0.9399735595270443,0.9634144703,3.304443359,154.3,1053,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.004754486200000074,0.266113281,7.900000000000006
16,34,33,33,max-normalized,20,10,"{'hidden_layer_sizes': (50,), 'activation': 'identity', 'solver': 'lbfgs', 'alpha': 0.01, 'learning_rate': 'constant', 'warm_start': True}",37,0.9352228409419474,0.95739741,2.727539063,153.5,285,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.001262574099999969,0.31079101499999995,7.099999999999994
17,34,33,33,max-normalized,20,20,"{'hidden_layer_sizes': (50, 50, 50), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'constant', 'warm_start': True}",2029,0.9343118299529434,0.9698536912,3.406005859,150.8,549,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.011193707100000005,0.367675781,4.400000000000006
18,34,33,33,max-normalized,20,30,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.01, 'learning_rate': 'adaptive', 'warm_start': True}",75,0.9340899557866946,0.9561406024,2.666015625,152.8,759,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.0025193816999999896,0.372314453,6.400000000000006
19,34,33,33,max-normalized,20,40,"{'hidden_layer_sizes': (50,), 'activation': 'identity', 'solver': 'lbfgs', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': False}",52,0.9310797261372274,0.9610559745,1.959960938,156.7,1056,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.0023959904000000476,1.07836914,10.299999999999983
20,34,33,33,max-normalized,20,50,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'lbfgs', 'alpha': 0.01, 'learning_rate': 'adaptive', 'warm_start': False}",94,0.937265574598649,0.9637063293,2.765869141,156.2,1348,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.005046345200000024,0.27246093699999996,9.799999999999983
21,34,33,33,max-normalized,25,10,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",87,0.933242732747463,0.9648371912,2.64453125,154.3,330,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.006177207100000026,0.393798828,7.900000000000006
22,34,33,33,max-normalized,25,20,"{'hidden_layer_sizes': (50,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'constant', 'warm_start': False}",26,0.9378810305603335,0.9559815184,2.681640625,155.5,632,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.0026784656999999656,0.356689453,9.099999999999994
23,34,33,33,max-normalized,25,30,"{'hidden_layer_sizes': (50, 50, 50), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'constant', 'warm_start': False}",1976,0.9386965932930401,0.9573574388,3.257568359,152.3,946,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.0013025452999999576,0.21923828099999998,5.900000000000006
24,34,33,33,max-normalized,25,40,"{'hidden_layer_sizes': (50,), 'activation': 'identity', 'solver': 'lbfgs', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': False}",52,0.9310797261372274,0.9610559745,1.959960938,156.7,1275,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.0023959904000000476,1.07836914,10.299999999999983
25,34,33,33,max-normalized,25,50,"{'hidden_layer_sizes': (50,), 'activation': 'identity', 'solver': 'lbfgs', 'alpha': 0.01, 'learning_rate': 'constant', 'warm_start': True}",37,0.9352228409419474,0.95739741,2.727539063,153.5,1567,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.001262574099999969,0.31079101499999995,7.099999999999994
26,34,33,33,max-normalized,30,10,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'lbfgs', 'alpha': 0.01, 'learning_rate': 'constant', 'warm_start': False}",146,0.9412411668932524,0.9598773636,3.295410156,154.5,384,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.0012173795000000043,0.257080078,8.099999999999994
27,34,33,33,max-normalized,30,20,"{'hidden_layer_sizes': (50, 100), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': False}",738,0.9333502209630503,0.9649365716,3.385253906,149.1,760,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.0062765875000000415,0.346923828,2.6999999999999886
28,34,33,33,max-normalized,30,30,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9284119560810947,0.9586599841,3.038330078,146.4,1114,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.0,0.0,0.0
29,34,33,33,max-normalized,30,40,"{'hidden_layer_sizes': (50,), 'activation': 'identity', 'solver': 'lbfgs', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': False}",52,0.9310797261372274,0.9610559745,1.959960938,156.7,1445,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.0023959904000000476,1.07836914,10.299999999999983
30,34,33,33,max-normalized,30,50,"{'hidden_layer_sizes': (50, 100), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': False}",738,0.9333502209630503,0.9649365716,3.385253906,149.1,1822,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.0062765875000000415,0.346923828,2.6999999999999886
31,34,33,33,range-normalized,5,10,"{'hidden_layer_sizes': (100, 50), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'adaptive', 'warm_start': False}",1000,0.7726046533036788,0.9539348012,3.421386719,150.5,102,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.004725182900000013,0.38305664100000003,4.099999999999994
32,34,33,33,range-normalized,5,20,"{'hidden_layer_sizes': (50, 100), 'activation': 'identity', 'solver': 'sgd', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",663,0.7790465307336248,0.9366119599,3.219726563,152.0,199,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.02204802419999996,0.18139648500000005,5.599999999999994
33,34,33,33,range-normalized,5,30,"{'hidden_layer_sizes': (150,), 'activation': 'relu', 'solver': 'sgd', 'alpha': 0.01, 'learning_rate': 'constant', 'warm_start': True}",379,0.7832416274510875,0.9292334538,3.708740234,151.7,298,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.029426530299999976,0.670410156,5.299999999999983
34,34,33,33,range-normalized,5,40,"{'hidden_layer_sizes': (50, 100), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': False}",738,0.7662175837720934,0.9649365716,3.385253906,149.1,397,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.0062765875000000415,0.346923828,2.6999999999999886
35,34,33,33,range-normalized,5,50,"{'hidden_layer_sizes': (50, 50, 100), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.01, 'learning_rate': 'invscaling', 'warm_start': True}",2129,0.7705202590167637,0.9560747482,3.584960938,149.5,489,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.002585235899999927,0.54663086,3.0999999999999943
36,34,33,33,range-normalized,10,10,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",141,0.7750331685955291,0.9611987904,3.108398438,152.7,167,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.0025388063000000294,0.07006836000000005,6.299999999999983
37,34,33,33,range-normalized,10,20,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'sgd', 'alpha': 0.0001, 'learning_rate': 'constant', 'warm_start': True}",121,0.7774776614496752,0.8980721187,3.1171875,148.8,358,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.06058786539999994,0.07885742200000001,2.4000000000000057
38,34,33,33,range-normalized,10,30,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.01, 'learning_rate': 'invscaling', 'warm_start': True}",131,0.7815273489920498,0.962351347,3.104492188,155.1,482,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.0036913629000000503,0.06616211000000005,8.699999999999989
39,34,33,33,range-normalized,10,40,"{'hidden_layer_sizes': (100, 50, 100), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.01, 'learning_rate': 'constant', 'warm_start': False}",3584,0.7760256323379727,0.9525231745,4.029541016,150.1,682,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.0061368095999999595,0.9912109379999996,3.6999999999999886
40,34,33,33,range-normalized,10,50,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.7578535200156374,0.9586599841,3.038330078,146.4,821,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.0,0.0,0.0
41,34,33,33,range-normalized,15,10,"{'hidden_layer_sizes': (150, 100, 50), 'activation': 'identity', 'solver': 'sgd', 'alpha': 0.0001, 'learning_rate': 'constant', 'warm_start': True}",5359,0.7842994360713701,0.9499026955,4.759277344,151.0,232,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.008757288600000024,1.720947266,4.599999999999994
42,34,33,33,range-normalized,15,20,"{'hidden_layer_sizes': (50, 150), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'constant', 'warm_start': False}",842,0.774955748435382,0.956005915,3.501220703,151.3,435,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.0026540690999999894,0.462890625,4.900000000000006
43,34,33,33,range-normalized,15,30,"{'hidden_layer_sizes': (100, 50), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'adaptive', 'warm_start': True}",999,0.7753855877041994,0.9597802868,3.396240234,152.0,652,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.0011203027000000754,0.357910156,5.599999999999994
44,34,33,33,range-normalized,15,40,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",141,0.7750331685955291,0.9611987904,3.108398438,152.7,846,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.0025388063000000294,0.07006836000000005,6.299999999999983
45,34,33,33,range-normalized,15,50,"{'hidden_layer_sizes': (100, 50, 50), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'constant', 'warm_start': True}",3487,0.7792866780350235,0.9623364311,3.98828125,152.1,1079,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.003676447000000027,0.949951172,5.699999999999989
