idx,train(cpu_line)(nano sec),test(cpu_line)(nano sec),train(mem)(MiB),test(mem)(MiB),total_addr_space(mem)(MiB)
117,3838569041.0,3603646.0,10.4,0.0,154.6
118,3698760616.0,4152735.0,18.5,0.0,159.8
119,3736701794.0,3838463.0,16.5,0.0,160.2
120,3789857431.0,3690847.0,16.3,18.0,181.7
121,3736099184.0,3544405.0,8.4,0.0,148.8
122,3730305719.0,3591256.0,18.7,0.0,160.3
123,3744364883.0,3574396.0,10.1,0.5,164.4
124,3742771722.0,3594496.0,12.6,0.0,161.6
125,3709163209.0,3566916.0,10.4,0.0,155.0
126,3694248851.0,3573158.0,34.7,0.0,174.9
127,4121042211.0,3534442.0,36.5,0.0,179.2
128,4118410746.0,3573292.0,8.2,0.0,155.9
129,4111203740.0,3540496.0,8.3,0.0,156.5
130,4121748074.0,3530962.0,12.7,0.0,158.8
131,4142982742.0,3591795.0,10.6,0.0,155.1
132,4147465307.0,3549463.0,10.1,0.0,161.6
133,4155397578.0,3545049.0,10.5,0.0,156.0
134,4118561484.0,3547994.0,8.4,0.0,159.0
135,4148150905.0,3548509.0,10.3,0.0,159.4
136,4132242152.0,3576542.0,10.6,0.0,151.6
137,4153811954.0,4501911.0,14.5,0.0,158.7
138,4232498829.0,3533986.0,8.6,0.0,156.4
139,4083046017.0,3549827.0,14.7,22.0,177.3
140,4253135535.0,3630883.0,14.4,0.0,158.1
141,4126266182.0,3572293.0,12.5,0.0,152.7
142,7245302888.0,3574503.0,22.5,0.0,166.4
143,4160209034.0,3617319.0,16.6,0.0,159.3
144,4092918957.0,3484457.0,12.4,0.0,157.9
145,2337162698.0,3532682.0,13.6,0.0,158.7
146,1394753267.0,3724297.0,9.6,0.0,154.5
147,2322004044.0,3640138.0,29.4,0.0,172.3
148,1587766753.0,3625355.0,9.3,0.0,162.9
149,1596532006.0,3672075.0,15.2,0.0,167.6
150,2189888644.0,3600204.0,9.7,0.0,155.8
151,1449699937.0,3593837.0,33.5,0.0,175.7
152,1187585077.0,3632941.0,15.7,0.0,159.6
153,1180256256.0,3571054.0,17.4,0.0,160.8
154,1281957196.0,3653999.0,15.2,0.0,168.9
155,1102364640.0,3618351.0,37.3,0.0,178.8
156,979827030.0,3637199.0,36.6,0.0,181.5
157,1348630887.0,3600431.0,11.4,0.0,164.8
158,1257761320.0,3586000.0,13.4,0.0,160.6
159,1232574038.0,3635985.0,42.6,0.0,187.4
160,1174806463.0,3606481.0,13.9,0.0,159.9
161,949127369.0,3595633.0,11.5,0.0,154.3
162,1227602076.0,3617938.0,17.6,0.0,161.7
163,4194242135.0,3382515.0,12.6,0.0,154.7
164,4152541620.0,3425171.0,12.3,0.0,160.1
165,4239731149.0,3353940.0,14.5,0.0,158.9
166,4204664184.0,3402228.0,10.4,0.0,167.9
167,4128049339.0,3430644.0,12.5,0.0,166.3
168,4274238387.0,3488564.0,8.8,20.0,172.0
169,4202126969.0,3321588.0,10.6,0.0,154.5
170,4187013507.0,3417300.0,10.4,0.0,154.3
171,4158300679.0,3393237.0,14.5,0.0,162.1
172,4255549758.0,3348789.0,10.4,0.0,156.3
173,4190559990.0,3423541.0,14.5,0.0,155.9
174,4115593176.0,3391285.0,10.5,0.0,154.1
175,4151990157.0,3560373.0,40.3,0.0,184.5
