,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,idx,no_of_layers,l1,l2,l3,activation,solver,learning_rate,alpha,warm_start,precision,recall,f1,training time (ms),inference time (ms)
1,1,1,50,0,0,identity,sgd,constant,0.01,True,0.9177985745155475,0.9125,0.9117074254354485,3466.309326171875,2.79248046875
2,2,1,50,0,0,identity,sgd,constant,0.01,False,0.9201851785977163,0.915,0.9139168874158754,3512.790771484375,2.642822265625
3,3,1,50,0,0,identity,sgd,adaptive,0.01,True,0.9177876168576963,0.915,0.9137870825994086,3180.855224609375,2.617431640625
4,4,1,50,0,0,identity,sgd,adaptive,0.01,False,0.909921313348613,0.90625,0.9051900895439157,3202.138427734375,2.61083984375
5,5,1,50,0,0,identity,sgd,invscaling,0.01,True,0.17478200588338844,0.19125,0.1681987870638669,3324.333740234375,2.705078125
6,6,1,50,0,0,identity,sgd,invscaling,0.01,False,0.2483432288877473,0.25875,0.23990954587858088,3406.12939453125,2.615966796875
7,7,1,50,0,0,identity,sgd,constant,0.001,True,0.9228553724175421,0.91875,0.9178688818722808,3247.817626953125,2.640380859375
8,8,1,50,0,0,identity,sgd,constant,0.001,False,0.9067567103511982,0.90375,0.9022977655770729,3196.571044921875,2.663330078125
9,9,1,50,0,0,identity,sgd,adaptive,0.001,True,0.9155056780075568,0.9125,0.9113634536226162,3467.632568359375,2.7109375
10,10,1,50,0,0,identity,sgd,adaptive,0.001,False,0.9189595815391668,0.9175,0.9165149123952194,3470.580322265625,2.70068359375
11,11,1,50,0,0,identity,sgd,invscaling,0.001,True,0.18417893516230893,0.205,0.17449534415245438,3200.1689453125,2.6875
12,12,1,50,0,0,identity,sgd,invscaling,0.001,False,0.19145264074033022,0.23875,0.20259315784703621,3311.319091796875,2.643310546875
13,13,1,50,0,0,identity,sgd,constant,0.0001,True,0.9235649626477691,0.92125,0.9204450377127941,3305.00390625,2.631591796875
14,14,1,50,0,0,identity,sgd,constant,0.0001,False,0.9188130032484085,0.915,0.9139641654994105,3428.14404296875,2.685546875
15,15,1,50,0,0,identity,sgd,adaptive,0.0001,True,0.9245722762452737,0.92,0.9193099068258167,3481.1572265625,2.9052734375
16,16,1,50,0,0,identity,sgd,adaptive,0.0001,False,0.9208206272734912,0.9175,0.916049388426557,3439.43115234375,2.64306640625
17,17,1,50,0,0,identity,sgd,invscaling,0.0001,True,0.15605621013738166,0.18625,0.15922769001066253,3361.693115234375,2.69482421875
18,18,1,50,0,0,identity,sgd,invscaling,0.0001,False,0.192175354010465,0.185,0.16239944404645115,3414.59619140625,2.67333984375
19,19,1,50,0,0,identity,adam,constant,0.01,True,0.9552842384508652,0.95375,0.953493103362799,3743.655029296875,2.67431640625
20,20,1,50,0,0,identity,adam,constant,0.01,False,0.9580631988322683,0.95625,0.9560001852139696,3767.921142578125,2.747314453125
21,21,1,50,0,0,identity,adam,adaptive,0.01,True,0.9595484850636402,0.9575,0.9574708803144992,3603.44140625,2.648681640625
22,22,1,50,0,0,identity,adam,adaptive,0.01,False,0.9607620530484227,0.95875,0.9585295061674287,3686.39404296875,2.68408203125
23,23,1,50,0,0,identity,adam,invscaling,0.01,True,0.9594314139504835,0.9575,0.9571920092432178,3685.3310546875,2.651611328125
24,24,1,50,0,0,identity,adam,invscaling,0.01,False,0.9583672165904238,0.95625,0.9561747567188982,3589.246826171875,2.67041015625
25,25,1,50,0,0,identity,adam,constant,0.001,True,0.9604846400669615,0.95875,0.9586187310815731,3816.056640625,2.68017578125
26,26,1,50,0,0,identity,adam,constant,0.001,False,0.9581172866887272,0.95625,0.9559815184149535,3868.237548828125,2.681640625
27,27,1,50,0,0,identity,adam,adaptive,0.001,True,0.9526991314495805,0.95,0.9496080040633365,3743.620361328125,2.63134765625
28,28,1,50,0,0,identity,adam,adaptive,0.001,False,0.9577601024245207,0.95625,0.9559404995611734,3869.387939453125,2.66748046875
29,29,1,50,0,0,identity,adam,invscaling,0.001,True,0.9590075743727935,0.9575,0.9572938419668979,3697.343994140625,2.64990234375
30,30,1,50,0,0,identity,adam,invscaling,0.001,False,0.9600685344794226,0.95875,0.9585531128401581,4077.664306640625,2.699951171875
31,31,1,50,0,0,identity,adam,constant,0.0001,True,0.9602706852344588,0.95875,0.9585757777668062,3621.918701171875,2.63623046875
32,32,1,50,0,0,identity,adam,constant,0.0001,False,0.9574945719769883,0.95625,0.9559350200951533,3555.330322265625,2.6201171875
33,33,1,50,0,0,identity,adam,adaptive,0.0001,True,0.9537061719844878,0.9525,0.9520688036689577,3560.38330078125,2.591552734375
34,34,1,50,0,0,identity,adam,adaptive,0.0001,False,0.9599625700758263,0.95875,0.9585908452096592,3555.518798828125,2.5947265625
35,35,1,50,0,0,identity,adam,invscaling,0.0001,True,0.9576574750988505,0.95625,0.9559317961185094,3554.375732421875,2.622802734375
36,36,1,50,0,0,identity,adam,invscaling,0.0001,False,0.9589223198775254,0.9575,0.9572965136648237,3620.911865234375,2.644287109375
37,37,1,50,0,0,identity,lbfgs,constant,0.01,True,0.9584370084916028,0.9575,0.9573974100083674,1808.831298828125,2.7275390625
38,38,1,50,0,0,identity,lbfgs,constant,0.01,False,0.958944448933254,0.9575,0.9574177907781605,1824.0556640625,2.74072265625
39,39,1,50,0,0,identity,lbfgs,adaptive,0.01,True,0.9519922544152698,0.95125,0.9511093187718407,1745.6005859375,2.72265625
40,40,1,50,0,0,identity,lbfgs,adaptive,0.01,False,0.9628494116675609,0.96125,0.960948614943462,1836.30029296875,2.778076171875
