idx,train(cpu_line)(nano sec),test(cpu_line)(nano sec),train(mem)(MiB),test(mem)(MiB),total_addr_space(mem)(MiB)
986,4e+10,29885395.0,0.1,0.6,122.2
987,4e+10,29617428.0,0.1,0.6,122.6
988,4e+10,28076699.0,0.1,0.4,122.3
989,4e+10,29756962.0,0.1,0.5,122.4
990,4e+10,29940713.0,0.1,0.5,122.4
991,4e+10,27057973.0,0.1,0.5,122.4
992,4e+10,27912970.0,0.1,0.5,122.2
993,4e+10,29980798.0,0.1,0.5,122.4
994,4e+10,29680808.0,0.1,0.6,122.2
995,4e+10,29452229.0,0.1,0.5,122.2
996,4e+10,26523506.0,0.1,0.5,122.1
997,4e+10,28127855.0,0.1,0.6,122.6
998,4e+10,32825434.0,0.1,0.5,122.4
999,4e+10,29657808.0,0.1,0.5,122.4
1000,4e+10,27252436.0,0.1,0.5,122.5
1001,5e+10,30098917.0,0.1,0.5,122.4
1002,4e+10,31049432.0,0.1,0.6,122.6
1003,4e+10,33688486.0,0.1,0.5,122.1
1004,4e+10,34225017.0,0.1,0.4,122.3
1005,4e+10,29650978.0,0.1,0.5,122.4
1006,5e+10,29954372.0,0.1,0.6,122.3
1007,5e+10,29753198.0,0.1,0.5,122.2
1008,4e+10,29881718.0,0.1,0.6,122.3
1009,3e+10,33068685.0,8.1,0.0,129.9
1010,3e+10,32912132.0,8.1,0.0,129.6
1011,3e+10,29197995.0,8.1,0.0,129.9
1012,3e+10,33026208.0,8.0,0.0,129.7
1013,3e+10,29206961.0,8.0,0.0,129.7
1014,3e+10,29075191.0,8.1,0.0,129.8
1015,3e+10,29214725.0,8.0,0.0,129.7
1016,3e+10,25940532.0,8.1,0.0,129.7
1017,3e+10,29148662.0,8.0,0.0,129.9
1018,3e+10,29195901.0,8.1,0.0,129.9
1019,3e+10,29070257.0,8.1,0.0,129.8
1020,3e+10,32920928.0,8.1,0.0,129.6
1021,3e+10,29271182.0,8.0,0.0,129.9
1022,3e+10,29183378.0,8.1,0.0,129.8
1023,3e+10,29500626.0,8.0,0.0,129.9
1024,3e+10,30797984.0,8.1,0.0,129.8
1025,2e+10,29551051.0,8.0,0.0,129.9
1026,3e+10,29526706.0,8.1,0.0,129.8
1027,4e+10,29348089.0,0.1,0.5,122.2
1028,4e+10,33155634.0,0.1,0.5,122.4
1029,5e+10,33129293.0,0.1,0.6,122.3
1030,4e+10,32970114.0,0.1,0.6,122.2
1031,4e+10,33123990.0,0.1,0.5,122.2
1032,4e+10,32920409.0,0.1,0.5,122.4
1033,4e+10,34758135.0,0.1,0.5,122.2
1034,4e+10,33005504.0,0.1,0.6,122.4
1035,4e+10,29423187.0,0.1,0.5,122.4
1036,5e+10,32934609.0,0.1,0.5,122.4
1037,4e+10,33169249.0,0.1,0.5,122.4
1038,4e+10,32899166.0,0.1,0.6,122.1
1039,4e+10,33300454.0,0.1,0.5,122.4
1040,5e+10,33038462.0,0.1,0.6,122.3
1041,4e+10,33219655.0,0.1,0.5,122.4
1042,4e+10,29482485.0,0.1,0.5,122.3
1043,5e+10,33274184.0,0.1,0.5,122.1
1044,4e+10,33219801.0,0.1,0.5,122.4
1045,5e+10,33080016.0,0.1,0.6,122.2
1046,5e+10,32928225.0,0.1,0.5,122.3
1047,5e+10,29200785.0,0.0,0.4,122.1
1048,5e+10,33092635.0,0.1,0.5,122.3
1049,5e+10,32846964.0,0.1,0.6,122.3
1050,5e+10,32728531.0,0.5,0.0,122.2
1051,5e+10,30822588.0,0.1,0.5,122.4
1052,5e+10,36997096.0,0.1,0.5,122.2
1053,4e+10,32660463.0,0.1,0.5,122.1
1054,5e+10,29335604.0,0.1,0.6,122.2
1055,5e+10,33683542.0,0.1,0.5,122.4
1056,5e+10,32538015.0,0.1,0.5,122.4
1057,5e+10,30922493.0,0.1,0.5,122.2
1058,5e+10,32832882.0,0.0,0.5,122.2
1059,5e+10,32482112.0,0.1,0.4,122.4
1060,5e+10,33104458.0,0.1,0.5,122.2
1061,5e+10,32839200.0,0.1,0.5,122.5
1062,5e+10,30956929.0,0.1,0.5,122.4
1063,3e+10,32351916.0,8.0,0.0,129.9
1064,4e+10,30334426.0,8.1,0.0,129.8
1065,3e+10,32241266.0,8.0,0.0,129.6
1066,3e+10,32518248.0,8.0,0.0,129.8
1067,3e+10,32005553.0,8.0,0.0,129.9
1068,3e+10,32513098.0,8.0,0.0,129.6
1069,3e+10,32272083.0,8.1,0.0,129.8
1070,3e+10,32165902.0,8.0,0.0,129.8
1071,4e+10,35325994.0,8.0,0.0,129.9
1072,3e+10,32114776.0,8.0,0.0,129.9
1073,3e+10,30317837.0,8.0,0.0,129.9
1074,3e+10,31961051.0,8.1,0.0,129.6
1075,4e+10,32058403.0,8.0,0.0,129.9
1076,4e+10,36212399.0,8.0,0.0,129.9
1077,3e+10,28882875.0,8.0,0.0,129.8
1078,3e+10,32161099.0,8.0,0.0,129.9
1079,3e+10,32446536.0,8.1,0.0,129.6
1080,3e+10,32880875.0,8.0,0.0,129.8
1081,6e+10,73624799.0,0.1,0.5,122.2
1082,6e+10,73733146.0,0.1,0.6,122.2
1083,6e+10,75447249.0,0.1,0.6,122.3
1084,6e+10,74046049.0,0.1,0.5,122.6
1085,6e+10,67871134.0,0.1,0.5,122.2
1086,6e+10,70970325.0,0.1,0.5,122.4
1087,6e+10,67999297.0,0.1,0.5,122.3
1088,6e+10,73466592.0,0.1,0.5,122.2
1089,6e+10,65071858.0,0.5,0.0,122.3
1090,6e+10,70317946.0,0.1,0.6,122.2
1091,6e+10,61242600.0,0.1,0.5,122.2
