Metric,Value
average,0.0005738620758056641
median,0.0005624294281005859
min,0.00043487548828125
max,0.0007522106170654297
25th percentile,0.0005261898040771484
75th percentile,0.0006160736083984375
variance,5.522705447219778e-09
range,0.0003173351287841797
IQR,8.988380432128906e-05
skewness,0.4823324381659347
kurtosis,-0.35209702201245774
