idx,no_of_layers,l1,l2,l3,activation,solver,learning_rate,alpha,warm_start,precision,recall,f1,training time (ms),inference time (ms),train(cpu_line)(nano sec),test(cpu_line)(nano sec),train(mem)(MiB),test(mem)(MiB),total_addr_space(mem)(MiB)
1545,3,50,100,100,relu,adam,adaptive,0.0001,TRUE,0.9704897235,0.97,0.969924257,51910.55469,43.48168945,6.00E+10,45273345,0.1,0.6,152.6
2031,3,100,100,50,relu,adam,adaptive,0.0001,TRUE,0.9544181909,0.95375,0.9534979353,61736.92896,48.74438477,6.00E+10,50814122,0.1,0.6,152.6
1649,3,100,50,50,identity,adam,invscaling,0.001,TRUE,0.9532937722,0.95125,0.9508463438,51747.10107,38.48583984,4.00E+10,40609848,0.1,0.6,152.6
1979,3,100,100,50,identity,adam,invscaling,0.0001,TRUE,0.9521421238,0.95,0.9498490084,63571.83643,43.84863281,5.00E+10,45473580,0.1,0.7,152.6
2013,3,100,100,50,relu,sgd,adaptive,0.0001,TRUE,0.9417203652,0.94,0.9395713861,69336.28394,48.55615234,7.00E+10,51186431,0.1,0.7,152.6
1741,3,100,50,50,tanh,sgd,constant,0.0001,TRUE,0.9044592256,0.9,0.8983863362,77390.19409,97.12768555,8.00E+10,99267670,0.1,0.6,152.6
1579,3,50,100,100,tanh,sgd,constant,0.0001,TRUE,0.8990507163,0.89375,0.8931222881,84390.72583,110.4020996,9.00E+10,112597192,0.1,0.6,152.6
1962,3,100,100,50,identity,sgd,invscaling,0.0001,FALSE,0.3279324232,0.3725,0.3193615481,61873.36206,43.6003418,6.00E+10,42866361,0.1,0.6,152.6
1679,3,100,50,50,relu,sgd,invscaling,0.01,TRUE,0.06557232228,0.11875,0.0740286738,60229.94092,42.67602539,6.00E+10,44858212,0.1,0.6,152.6
1915,3,100,50,100,tanh,adam,constant,0.001,TRUE,0.9683550703,0.9675,0.9674619087,97133.00269,116.2980957,1.00E+11,119198656,0.1,0.6,152.5
1543,3,50,100,100,relu,adam,constant,0.0001,TRUE,0.9680686467,0.9675,0.9672539082,66860.91479,43.42504883,6.00E+10,45316050,0.1,0.6,152.5
2079,3,100,100,50,tanh,adam,adaptive,0.001,TRUE,0.9658587312,0.965,0.9649097267,102711.6814,117.734375,1.00E+11,120163213,0.1,0.6,152.5
2076,3,100,100,50,tanh,adam,invscaling,0.01,FALSE,0.9648253793,0.96375,0.96370461,102770.4946,117.973877,1.00E+11,120166936,0.1,0.6,152.5
1747,3,100,50,50,tanh,adam,constant,0.01,TRUE,0.9619942217,0.96125,0.9612116634,85278.39038,98.10107422,9.00E+10,100342397,0.1,0.7,152.5
2077,3,100,100,50,tanh,adam,constant,0.001,TRUE,0.9619854361,0.96125,0.9611961716,103017.0276,117.829834,1.00E+11,120574678,0.1,0.6,152.5
1601,3,50,100,100,tanh,adam,invscaling,0.0001,TRUE,0.9586522798,0.9575,0.9574755486,91731.44019,112.9580078,9.00E+10,115118071,0.1,0.6,152.5
1535,3,50,100,100,relu,adam,invscaling,0.01,TRUE,0.9574305334,0.95625,0.9558591441,44392.72021,43.5012207,6.00E+10,45344542,0.1,0.6,152.5
2127,3,100,100,100,identity,adam,adaptive,0.01,TRUE,0.9549838227,0.95375,0.9533981998,35946.50684,48.64404297,6.00E+10,50356376,0.1,0.6,152.5
2133,3,100,100,100,identity,adam,adaptive,0.001,TRUE,0.9535515351,0.95125,0.9510731007,45409.39355,48.63696289,4.00E+10,50021842,0.1,0.6,152.5
1814,3,100,50,100,identity,adam,constant,0.0001,FALSE,0.9530736361,0.95,0.9501455178,45543.67017,42.35473633,6.00E+10,44169074,0.1,0.6,152.5
1627,3,100,50,50,identity,sgd,constant,0.001,TRUE,0.9494175791,0.94625,0.9455738368,53746.31445,38.58544922,6.00E+10,40923011,0.1,0.7,152.5
1959,3,100,100,50,identity,sgd,adaptive,0.0001,TRUE,0.9455554952,0.9425,0.9418637467,61839.4873,44.02075195,6.00E+10,45842661,0.1,0.7,152.5
2011,3,100,100,50,relu,sgd,constant,0.0001,TRUE,0.9411287484,0.93875,0.9388580167,69538.10669,48.89575195,7.00E+10,50954083,0.1,0.7,152.5
1952,3,100,100,50,identity,sgd,constant,0.001,FALSE,0.9425019201,0.93875,0.9380971963,61858.28711,43.59643555,6.00E+10,45978592,0.1,0.7,152.5
1999,3,100,100,50,relu,sgd,constant,0.01,TRUE,0.9366959344,0.935,0.9348512909,69389.84692,48.97827148,7.00E+10,51475631,0.1,0.6,152.5
1786,3,100,50,100,identity,sgd,adaptive,0.01,FALSE,0.9371015983,0.93375,0.9327522454,56802.61792,42.95141602,6.00E+10,44648409,0.1,0.6,152.5
1893,3,100,50,100,tanh,sgd,adaptive,0.01,TRUE,0.9320592577,0.93,0.9302348735,90274.25928,114.1787109,9.00E+10,116941390,0.1,0.6,152.5
1837,3,100,50,100,relu,sgd,constant,0.01,TRUE,0.9315525756,0.92875,0.9281562825,64696.72021,47.34228516,7.00E+10,49899820,0.1,0.6,152.5
2066,3,100,100,50,tanh,sgd,constant,0.0001,FALSE,0.930347866,0.9275,0.9273603814,93698.94067,117.0368652,1.00E+11,118434339,0.1,0.6,152.5
1898,3,100,50,100,tanh,sgd,constant,0.001,FALSE,0.927280821,0.92375,0.9238649886,88613.72705,67.68945313,9.00E+10,117223163,0.1,0.6,152.5
1568,3,50,100,100,tanh,sgd,constant,0.01,FALSE,0.9156487821,0.91125,0.9102370292,84056.68799,110.378418,9.00E+10,112440444,0.1,0.6,152.5
1799,3,100,50,100,identity,sgd,invscaling,0.0001,TRUE,0.2762549132,0.3375,0.2769274822,57201.97119,42.43798828,6.00E+10,44907581,0.1,0.6,152.5
1577,3,50,100,100,tanh,sgd,invscaling,0.001,TRUE,0.1808464692,0.23625,0.1726539468,82867.71387,105.796875,9.00E+10,107365968,0.1,0.6,152.5
1739,3,100,50,50,tanh,sgd,invscaling,0.001,TRUE,0.1120971644,0.09125,0.06312372166,75699.28149,94.22924805,8.00E+10,96628361,0.1,0.7,152.5
1705,3,100,50,50,relu,adam,constant,0.0001,TRUE,0.9696730028,0.96875,0.968656782,66469.31885,42.50488281,5.00E+10,44608412,0.1,0.7,152.4
1859,3,100,50,100,relu,adam,invscaling,0.01,TRUE,0.9696093111,0.96875,0.9686321835,71166.83838,47.56616211,7.00E+10,49740908,0.1,0.5,152.4
2019,3,100,100,50,relu,adam,adaptive,0.01,TRUE,0.9673105949,0.96625,0.9661770189,57816.49756,48.83520508,8.00E+10,51109203,0.1,0.6,152.4
2243,3,100,100,100,tanh,adam,invscaling,0.001,TRUE,0.9671037553,0.96625,0.9661432124,115096.459,137.4846191,1.00E+11,139686723,0.1,0.5,152.4
