idx,f1-weight,inference-time-weight,memory-weight,objective-function,number_of_particle,number_of_iteration,pso_best_params,pso_best_param_idx,pso_best_fitness,pso_best_f1,pso_best_inference_time,pso_best_memory,pso_iteration_count,opt_params,opt_param_idx,opt_f1,opt_inference_time,opt_memory,f1_diff,f1_diff,memory_diff
13,34,33,33,max-normalized,15,30,"{'hidden_layer_sizes': (50,), 'activation': 'identity', 'solver': 'lbfgs', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': False}",52,0.9310797261372274,0.9610559745,1.959960938,156.7,496,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.0023959904000000476,1.07836914,10.299999999999983
14,34,33,33,max-normalized,15,40,"{'hidden_layer_sizes': (50,), 'activation': 'identity', 'solver': 'lbfgs', 'alpha': 0.01, 'learning_rate': 'adaptive', 'warm_start': False}",40,0.937956280954163,0.9609486149,2.778076172,156.0,656,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.00228863080000008,0.260253906,9.599999999999994
15,34,33,33,max-normalized,15,50,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'lbfgs', 'alpha': 0.01, 'learning_rate': 'constant', 'warm_start': False}",146,0.9412411668932524,0.9598773636,3.295410156,154.5,816,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.0012173795000000043,0.257080078,8.099999999999994
16,34,33,33,max-normalized,20,10,"{'hidden_layer_sizes': (50,), 'activation': 'identity', 'solver': 'lbfgs', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': False}",52,0.9310797261372274,0.9610559745,1.959960938,156.7,231,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.0023959904000000476,1.07836914,10.299999999999983
17,34,33,33,max-normalized,20,20,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'constant', 'warm_start': False}",140,0.9426044242752433,0.9648443727,3.092285156,158.1,441,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.006184388600000035,0.05395507799999999,11.699999999999989
18,34,33,33,max-normalized,20,30,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'lbfgs', 'alpha': 0.01, 'learning_rate': 'constant', 'warm_start': False}",146,0.9412411668932524,0.9598773636,3.295410156,154.5,651,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.0012173795000000043,0.257080078,8.099999999999994
19,34,33,33,max-normalized,20,40,"{'hidden_layer_sizes': (50,), 'activation': 'identity', 'solver': 'lbfgs', 'alpha': 0.001, 'learning_rate': 'invscaling', 'warm_start': True}",47,0.9360512090878365,0.961022983,2.734619141,154.9,861,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.002362998900000024,0.30371093699999996,8.5
20,34,33,33,max-normalized,20,50,"{'hidden_layer_sizes': (50,), 'activation': 'identity', 'solver': 'lbfgs', 'alpha': 0.01, 'learning_rate': 'constant', 'warm_start': True}",37,0.9352228409419474,0.95739741,2.727539063,153.5,1071,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.001262574099999969,0.31079101499999995,7.099999999999994
21,34,33,33,max-normalized,25,10,"{'hidden_layer_sizes': (50,), 'activation': 'identity', 'solver': 'lbfgs', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': False}",52,0.9310797261372274,0.9610559745,1.959960938,156.7,286,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.0023959904000000476,1.07836914,10.299999999999983
22,34,33,33,max-normalized,25,20,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.01, 'learning_rate': 'constant', 'warm_start': True}",73,0.9351199909504527,0.9610148233,2.678466797,154.6,546,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.002354839200000014,0.359863281,8.199999999999989
23,34,33,33,max-normalized,25,30,"{'hidden_layer_sizes': (50,), 'activation': 'identity', 'solver': 'lbfgs', 'alpha': 0.01, 'learning_rate': 'constant', 'warm_start': True}",37,0.9352228409419474,0.95739741,2.727539063,153.5,806,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.001262574099999969,0.31079101499999995,7.099999999999994
24,34,33,33,max-normalized,25,40,"{'hidden_layer_sizes': (50,), 'activation': 'identity', 'solver': 'lbfgs', 'alpha': 0.01, 'learning_rate': 'constant', 'warm_start': True}",37,0.9352228409419474,0.95739741,2.727539063,153.5,1066,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.001262574099999969,0.31079101499999995,7.099999999999994
25,34,33,33,max-normalized,25,50,"{'hidden_layer_sizes': (50,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'constant', 'warm_start': False}",32,0.9351759900289498,0.9559350201,2.620117188,153.9,1326,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.0027249639999999964,0.41821288999999995,7.5
26,34,33,33,max-normalized,30,10,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.01, 'learning_rate': 'invscaling', 'warm_start': True}",77,0.9369375409167088,0.9674444626,2.669189453,157.5,341,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.008784478500000081,0.369140625,11.099999999999994
27,34,33,33,max-normalized,30,20,"{'hidden_layer_sizes': (50,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'constant', 'warm_start': False}",32,0.9351759900289498,0.9559350201,2.620117188,153.9,651,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.0027249639999999964,0.41821288999999995,7.5
28,34,33,33,max-normalized,30,30,"{'hidden_layer_sizes': (50,), 'activation': 'identity', 'solver': 'lbfgs', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': False}",52,0.9310797261372274,0.9610559745,1.959960938,156.7,961,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.0023959904000000476,1.07836914,10.299999999999983
29,34,33,33,max-normalized,30,40,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.01, 'learning_rate': 'constant', 'warm_start': True}",73,0.9351199909504527,0.9610148233,2.678466797,154.6,1271,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.002354839200000014,0.359863281,8.199999999999989
30,34,33,33,max-normalized,30,50,"{'hidden_layer_sizes': (50,), 'activation': 'identity', 'solver': 'lbfgs', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': False}",52,0.9310797261372274,0.9610559745,1.959960938,156.7,1581,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.0023959904000000476,1.07836914,10.299999999999983
31,34,33,33,range-normalized,5,10,"{'hidden_layer_sizes': (150, 150, 100), 'activation': 'identity', 'solver': 'sgd', 'alpha': 0.0001, 'learning_rate': 'constant', 'warm_start': False}",6008,0.8036557006640637,0.940895323,5.727783203,154.5,66,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.017764661099999968,2.6894531250000004,8.099999999999994
32,34,33,33,range-normalized,5,20,"{'hidden_layer_sizes': (50,), 'activation': 'identity', 'solver': 'sgd', 'alpha': 0.0001, 'learning_rate': 'constant', 'warm_start': True}",13,0.7868837153154096,0.9204450377,2.631591797,155.0,126,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.038214946400000005,0.406738281,8.599999999999994
33,34,33,33,range-normalized,5,30,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'lbfgs', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': True}",161,0.7804475730956812,0.9634144703,3.304443359,154.3,186,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.004754486200000074,0.266113281,7.900000000000006
34,34,33,33,range-normalized,5,40,"{'hidden_layer_sizes': (50,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.01, 'learning_rate': 'invscaling', 'warm_start': False}",24,0.7953567793878732,0.9561747567,2.670410156,160.5,246,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.002485227400000012,0.367919922,14.099999999999994
35,34,33,33,range-normalized,5,50,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'lbfgs', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': False}",160,0.7963945847452006,0.9650735503,3.319335938,159.9,306,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.006413566199999998,0.28100586000000005,13.5
36,34,33,33,range-normalized,10,10,"{'hidden_layer_sizes': (150, 50, 50), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'constant', 'warm_start': False}",4886,0.7820044603854481,0.948489387,4.354980469,151.1,121,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.010170597100000012,1.316650391,4.699999999999989
37,34,33,33,range-normalized,10,20,"{'hidden_layer_sizes': (50,), 'activation': 'identity', 'solver': 'sgd', 'alpha': 0.001, 'learning_rate': 'constant', 'warm_start': True}",7,0.7744482547602775,0.9178688819,2.640380859,150.4,231,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.04079110219999993,0.397949219,4.0
38,34,33,33,range-normalized,10,30,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'lbfgs', 'alpha': 0.01, 'learning_rate': 'constant', 'warm_start': False}",146,0.7817070962543712,0.9598773636,3.295410156,154.5,341,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.0012173795000000043,0.257080078,8.099999999999994
39,34,33,33,range-normalized,10,40,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'lbfgs', 'alpha': 0.01, 'learning_rate': 'constant', 'warm_start': False}",146,0.7817070962543712,0.9598773636,3.295410156,154.5,451,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.0012173795000000043,0.257080078,8.099999999999994
40,34,33,33,range-normalized,10,50,"{'hidden_layer_sizes': (50,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'constant', 'warm_start': False}",32,0.7760855784080866,0.9559350201,2.620117188,153.9,561,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.0027249639999999964,0.41821288999999995,7.5
41,34,33,33,range-normalized,15,10,"{'hidden_layer_sizes': (50,), 'activation': 'identity', 'solver': 'lbfgs', 'alpha': 0.01, 'learning_rate': 'constant', 'warm_start': True}",37,0.7754088623458457,0.95739741,2.727539063,153.5,176,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.001262574099999969,0.31079101499999995,7.099999999999994
42,34,33,33,range-normalized,15,20,"{'hidden_layer_sizes': (50,), 'activation': 'identity', 'solver': 'lbfgs', 'alpha': 0.01, 'learning_rate': 'constant', 'warm_start': True}",37,0.7754088623458457,0.95739741,2.727539063,153.5,336,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.001262574099999969,0.31079101499999995,7.099999999999994
43,34,33,33,range-normalized,15,30,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.01, 'learning_rate': 'invscaling', 'warm_start': True}",131,0.7815273489920498,0.962351347,3.104492188,155.1,496,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.0036913629000000503,0.06616211000000005,8.699999999999989
44,34,33,33,range-normalized,15,40,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.01, 'learning_rate': 'invscaling', 'warm_start': True}",131,0.7815273489920498,0.962351347,3.104492188,155.1,656,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.0036913629000000503,0.06616211000000005,8.699999999999989
45,34,33,33,range-normalized,15,50,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'lbfgs', 'alpha': 0.01, 'learning_rate': 'constant', 'warm_start': False}",146,0.7817070962543712,0.9598773636,3.295410156,154.5,816,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.0012173795000000043,0.257080078,8.099999999999994
46,34,33,33,range-normalized,20,10,"{'hidden_layer_sizes': (50,), 'activation': 'identity', 'solver': 'sgd', 'alpha': 0.001, 'learning_rate': 'constant', 'warm_start': False}",8,0.771469708701822,0.9022977656,2.663330078,148.1,231,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.056362218500000005,0.375,1.6999999999999886
47,34,33,33,range-normalized,20,20,"{'hidden_layer_sizes': (50,), 'activation': 'identity', 'solver': 'sgd', 'alpha': 0.001, 'learning_rate': 'constant', 'warm_start': True}",7,0.7744482547602775,0.9178688819,2.640380859,150.4,441,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.04079110219999993,0.397949219,4.0
