index,time
1,0.0002300739288330078
2,0.00016021728515625
3,9.202957153320312e-05
4,8.797645568847656e-05
5,8.511543273925781e-05
6,8.606910705566406e-05
7,8.392333984375e-05
8,8.606910705566406e-05
9,8.559226989746094e-05
10,8.296966552734375e-05
