idx,no_of_layers,l1,l2,l3,activation,solver,learning_rate,alpha,warm_start,precision,recall,f1,training time (ms),inference time (ms),train(cpu_line)(nano sec),test(cpu_line)(nano sec),train(mem)(MiB),test(mem)(MiB),total_addr_space(mem)(MiB)
4366,3,100,100,150,tanh,lbfgs,adaptive,0.001,FALSE,0.9645296167,0.96375,0.9638802582,2712.159668,5.884277344,1430250729,2928086,33,0,260.2
2800,3,50,100,150,identity,lbfgs,adaptive,0.001,FALSE,0.9569440517,0.95625,0.956160908,2373.801758,3.920166016,905130027,1134353,32.8,0,260.2
2805,3,50,100,150,identity,lbfgs,adaptive,0.0001,TRUE,0.9586758848,0.9575,0.957402318,2596.637451,3.936279297,944811327,1156496,33.4,0,260.1
4792,3,100,150,150,relu,lbfgs,adaptive,0.01,FALSE,0.9679186725,0.9675,0.9674365828,5519.737549,6.325927734,1751630133,1459991,33.2,0,260.1
4741,3,100,150,150,identity,lbfgs,constant,0.001,TRUE,0.9586088788,0.9575,0.9574776679,3767.53125,5.285644531,1315747080,1368214,32.8,0,260.1
2792,3,50,100,150,identity,lbfgs,constant,0.01,FALSE,0.960584885,0.96,0.9599451419,2312.587402,1.653076172,926362285,1102653,32.8,0,260.1
5181,3,150,50,100,tanh,lbfgs,adaptive,0.0001,TRUE,0.975387519,0.975,0.9750582401,2726.875732,5.621582031,1392375848,2653200,32.7,0,260.1
4742,3,100,150,150,identity,lbfgs,constant,0.001,FALSE,0.9545099885,0.95375,0.9534851815,3912.774658,5.439697266,1338057874,1382118,32.7,0,260.1
5603,3,150,100,100,relu,lbfgs,invscaling,0.01,TRUE,0.9671528018,0.96625,0.9661886721,6151.02124,10.63720703,1623451237,1448493,32,0,260
4524,3,100,150,50,tanh,lbfgs,invscaling,0.01,FALSE,0.9681724037,0.9675,0.9674691865,2503.19751,9.25,1184270786,2672575,31.9,0,260
5334,3,150,50,150,tanh,lbfgs,invscaling,0.01,FALSE,0.9704817606,0.97,0.9699542036,3141.134521,5.812988281,1505543439,2921009,32.5,0,259.9
4360,3,100,100,150,tanh,lbfgs,adaptive,0.01,FALSE,0.9728506656,0.9725,0.9725406592,4145.277832,5.750488281,1402178173,2915890,32.5,0,259.9
5606,3,150,100,100,relu,lbfgs,constant,0.001,FALSE,0.9667822523,0.96625,0.9663203506,5014.341064,3.294433594,1659864111,2206694,32,0.2,259.9
4789,3,100,150,150,relu,lbfgs,constant,0.01,TRUE,0.9719148331,0.97125,0.9710946061,9317.378418,13.49145508,1726218492,1476668,32.6,0,259.8
5501,3,150,100,50,tanh,lbfgs,invscaling,0.001,TRUE,0.9643869758,0.96375,0.9637737419,4652.407959,5.89453125,995440509,2667235,32.3,0,259.8
5553,3,150,100,100,identity,lbfgs,adaptive,0.001,TRUE,0.9605591131,0.96,0.9599365898,3909.054688,12.76538086,1198753517,2071978,32.2,0,259.8
2795,3,50,100,150,identity,lbfgs,invscaling,0.01,TRUE,0.9595615492,0.95875,0.9586054103,2504.584229,3.903564453,960630986,1154504,32.2,0,259.8
5179,3,150,50,100,tanh,lbfgs,constant,0.0001,TRUE,0.962090469,0.96125,0.9612095497,3914.016113,2.595214844,1260512131,2679503,32.1,0,259.8
5549,3,150,100,100,identity,lbfgs,invscaling,0.01,TRUE,0.9632175572,0.9625,0.9623966401,4180.298828,5.149902344,1643754394,1701394,32.9,0,259.7
5174,3,150,50,100,tanh,lbfgs,constant,0.001,FALSE,0.9629154731,0.9625,0.9624723552,2869.318848,2.37890625,1016046072,2681982,32.6,0,259.7
4370,3,100,100,150,tanh,lbfgs,constant,0.0001,FALSE,0.9659618967,0.965,0.9649874659,3386.867432,5.890380859,1514181382,2964863,31.9,0,259.7
5556,3,150,100,100,identity,lbfgs,invscaling,0.001,FALSE,0.9532062883,0.9525,0.952336365,3985.269531,4.745605469,1233050636,1346775,31.5,0.2,259.7
5169,3,150,50,100,tanh,lbfgs,adaptive,0.01,TRUE,0.9611630049,0.96,0.9600635128,2590.32251,2.699462891,910266395,2660236,32.4,0,259.6
5599,3,150,100,100,relu,lbfgs,constant,0.01,TRUE,0.9624764254,0.96125,0.9611287802,7647.013428,6.815185547,1731010178,2504056,32.1,0.2,259.6
4357,3,100,100,150,tanh,lbfgs,constant,0.01,TRUE,0.9716099348,0.97125,0.9713080154,2238.308594,5.872558594,1464323754,2915375,32,0.2,259.6
5608,3,150,100,100,relu,lbfgs,adaptive,0.001,FALSE,0.9704622879,0.97,0.9699908285,4954.475098,9.739013672,1687447279,1902120,32,0.2,259.6
5552,3,150,100,100,identity,lbfgs,constant,0.001,FALSE,0.9655914009,0.965,0.9649195508,3830.801758,6.236572266,1228177571,1344263,32,0,259.6
2801,3,50,100,150,identity,lbfgs,invscaling,0.001,TRUE,0.9625646598,0.96125,0.9612971484,2358.085205,3.751464844,928383946,1134897,32.2,0,259.5
5602,3,150,100,100,relu,lbfgs,adaptive,0.01,FALSE,0.9643211625,0.96375,0.9635452396,5438.727051,3.051513672,1659671238,2042142,32.1,0,259.5
5607,3,150,100,100,relu,lbfgs,adaptive,0.001,TRUE,0.9696548455,0.96875,0.9686054294,5460.892334,4.435058594,1658980624,1438417,32.1,0,259.5
5612,3,150,100,100,relu,lbfgs,constant,0.0001,FALSE,0.9683157753,0.9675,0.9675266585,5087.522217,6.338867188,1632590716,2246459,32.2,0.2,259.4
5173,3,150,50,100,tanh,lbfgs,constant,0.001,TRUE,0.9704659967,0.97,0.9700559664,4248.879395,10.38232422,897039588,2670739,31.9,0,259.4
5168,3,150,50,100,tanh,lbfgs,constant,0.01,FALSE,0.9756269543,0.975,0.9750181102,3023.795898,9.172119141,1345344248,2667032,31.9,0,259.4
5609,3,150,100,100,relu,lbfgs,invscaling,0.001,TRUE,0.9604978246,0.96,0.9596954349,4811.223633,3.0625,1630239400,1470531,31.9,0,259.4
5548,3,150,100,100,identity,lbfgs,adaptive,0.01,FALSE,0.9557161153,0.955,0.9546641178,3449.121094,8.705810547,1247321112,1354778,31.9,0.2,259.4
5507,3,150,100,50,tanh,lbfgs,invscaling,0.0001,TRUE,0.9663816034,0.96625,0.9660476458,2616.31543,5.667236328,1262541221,2703882,31.7,0,259.4
5184,3,150,50,100,tanh,lbfgs,invscaling,0.0001,FALSE,0.9593543647,0.95875,0.9587265927,2200.758057,5.720214844,1471725529,2614942,31.5,0.2,259.4
5562,3,150,100,100,identity,lbfgs,invscaling,0.0001,FALSE,0.9587965591,0.9575,0.9575284138,3335.934814,2.004150391,1235991881,1291324,31.8,0.2,259.3
5171,3,150,50,100,tanh,lbfgs,invscaling,0.01,TRUE,0.9677654792,0.9675,0.9674422295,2256.075684,5.641357422,1579738368,2640605,31.6,0.2,259.3
5560,3,150,100,100,identity,lbfgs,adaptive,0.0001,FALSE,0.9616938377,0.96125,0.9612529819,3268.577637,5.588867188,1216779879,2451825,32.1,0,259.2
5175,3,150,50,100,tanh,lbfgs,adaptive,0.001,TRUE,0.9608430225,0.96,0.9600743082,3093.538818,9.264160156,957882797,2663281,32,0.2,259.2
5182,3,150,50,100,tanh,lbfgs,adaptive,0.0001,FALSE,0.9691860867,0.96875,0.9686772532,3784.913086,4.287597656,1900367675,2650715,31.9,0,259.2
4372,3,100,100,150,tanh,lbfgs,adaptive,0.0001,FALSE,0.9595336018,0.95875,0.9588108942,1861.31958,2.398681641,1345301684,2921838,31.8,0,259.2
5178,3,150,50,100,tanh,lbfgs,invscaling,0.001,FALSE,0.9665241316,0.96625,0.9661777044,3089.621826,9.33984375,1051507731,2664236,31.3,0,259.2
4644,3,100,150,100,relu,lbfgs,invscaling,0.0001,FALSE,0.9598963054,0.95875,0.9586599919,4483.53418,5.693603516,1553322747,1811124,31.2,0,259.2
5546,3,150,100,100,identity,lbfgs,constant,0.01,FALSE,0.9594574312,0.95875,0.9587091509,3806.789307,6.40234375,1238064918,2306797,32.7,0,259.1
5545,3,150,100,100,identity,lbfgs,constant,0.01,TRUE,0.9547635244,0.95375,0.9535612662,4004.070557,11.87548828,1192642803,1332792,31.9,0.4,259.1
5167,3,150,50,100,tanh,lbfgs,constant,0.01,TRUE,0.9719394934,0.97125,0.9713974641,2937.476807,4.001953125,1220431957,2637088,31.6,0,259.1
5170,3,150,50,100,tanh,lbfgs,adaptive,0.01,FALSE,0.9717127581,0.97125,0.9713057718,3301.066162,2.238037109,1011526931,2647686,31.5,0,259.1
4577,3,100,150,100,identity,lbfgs,invscaling,0.01,TRUE,0.9544209447,0.95375,0.9535651932,3297.329834,5.079833984,1135832431,1659518,31.3,0.4,259.1
5550,3,150,100,100,identity,lbfgs,invscaling,0.01,FALSE,0.9584140677,0.9575,0.9575321195,3465.061035,1.981933594,1247594813,1295401,32.1,0,259
5176,3,150,50,100,tanh,lbfgs,adaptive,0.001,FALSE,0.9654485147,0.965,0.964891664,2130.764648,5.540771484,1322620981,2611363,31.7,0.2,259
5926,3,150,150,50,relu,lbfgs,adaptive,0.01,FALSE,0.9621501241,0.96125,0.9612540883,6233.567383,6.296875,1732252683,1886214,31.6,0.2,259
5177,3,150,50,100,tanh,lbfgs,invscaling,0.001,TRUE,0.9645418486,0.96375,0.963794877,2690.210938,5.788574219,910148338,2688870,31.4,0,259
5547,3,150,100,100,identity,lbfgs,adaptive,0.01,TRUE,0.9588192178,0.9575,0.9575112086,3797.013672,10.39746094,1217658853,2007326,31.3,0.2,259
5559,3,150,100,100,identity,lbfgs,adaptive,0.0001,TRUE,0.9595670968,0.95875,0.9586019614,4770.411133,8.968261719,1239679137,1341841,30.9,0.4,259
5614,3,150,100,100,relu,lbfgs,adaptive,0.0001,FALSE,0.9634342508,0.9625,0.9625099517,5353.487549,2.757080078,1672184707,1420183,31.9,0,258.9
4531,3,100,150,50,tanh,lbfgs,constant,0.0001,TRUE,0.9614335788,0.96125,0.961058433,2614.18335,5.216308594,1079042918,2588429,31.6,0,258.9
5605,3,150,100,100,relu,lbfgs,constant,0.001,TRUE,0.9660394732,0.965,0.9649917992,7639.814697,8.599365234,1636163392,1387888,31.6,0,258.9
4304,3,100,100,150,relu,lbfgs,constant,0.01,FALSE,0.971018704,0.97,0.9700383811,4839.379395,5.526611328,1531825917,1832193,31.5,0,258.9
4641,3,100,150,100,relu,lbfgs,adaptive,0.0001,TRUE,0.9700845783,0.97,0.9697138552,5237.485596,5.761474609,1596179964,1355410,31.4,0,258.9
